,spent_rate,customer_state,customer_city,customer_count,total_spent,customer_count_percent,total_spent_percent
3664,low,PR,palmeira,6,261.73,0.006306363120388472,0.0023921626022593533
3665,med,SC,pinhalzinho,3,261.69,0.003153181560194236,0.0023917970098393383
3666,med,PR,sao joao,4,261.04,0.004204242080258981,0.0023858561330141045
3667,high,SP,ipigua,1,260.8,0.0010510605200647453,0.002383662578494018
3668,low,SC,treze tilias,8,260.65999999999997,0.008408484160517963,0.002382383005023967
3669,med,CE,eusebio,3,260.54,0.003153181560194236,0.0023812862277639243
3670,med,SP,severinia,3,260.5,0.003153181560194236,0.0023809206353439093
3671,low,GO,inhumas,7,260.34999999999997,0.0073574236404532175,0.0023795496637688553
3672,low,SP,campos do jordao,8,260.13,0.008408484160517963,0.002377538905458776
3673,high,ES,mantenopolis,1,260.0,0.0010510605200647453,0.0023763507300937296
3674,high,MG,lagoa dourada,1,260.0,0.0010510605200647453,0.0023763507300937296
3675,high,MG,santa margarida,1,260.0,0.0010510605200647453,0.0023763507300937296
3676,high,AL,uniao dos palmares,1,259.99,0.0010510605200647453,0.0023762593319887255
3677,high,MG,novo oriente de minas,1,259.99,0.0010510605200647453,0.0023762593319887255
3678,high,MT,feliz natal,1,259.99,0.0010510605200647453,0.0023762593319887255
3679,high,PR,araruna,1,259.99,0.0010510605200647453,0.0023762593319887255
3680,high,SP,trabiju,1,259.99,0.0010510605200647453,0.0023762593319887255
3681,high,BA,candido sales,1,259.9,0.0010510605200647453,0.002375436749043693
3682,high,PE,santa terezinha,1,259.9,0.0010510605200647453,0.002375436749043693
3683,high,PR,salto do itarare,1,259.9,0.0010510605200647453,0.002375436749043693
3684,high,SP,morungaba,1,259.9,0.0010510605200647453,0.002375436749043693
3685,med,BA,macaubas,3,259.89,0.003153181560194236,0.0023753453509386896
3686,high,ES,mucurici,1,259.8,0.0010510605200647453,0.0023745227679936574
3687,high,RS,sao sepe,1,259.8,0.0010510605200647453,0.0023745227679936574
3688,high,SC,sao jose do cedro,1,259.8,0.0010510605200647453,0.0023745227679936574
3689,high,BA,coribe,2,259.79,0.0021021210401294906,0.0023744313698886538
3690,med,RS,girua,3,259.78000000000003,0.003153181560194236,0.0023743399717836506
3691,med,MT,nova bandeirantes,3,259.69,0.003153181560194236,0.0023735173888386175
3692,low,SP,agudos,7,259.65,0.0073574236404532175,0.002373151796418603
3693,high,SP,jumirim,1,259.6,0.0010510605200647453,0.002372694805893585
3694,low,RJ,cachoeiras de macacu,8,259.27,0.008408484160517963,0.002369678668428466
3695,high,MG,cocais,1,259.0,0.0010510605200647453,0.0023672109195933687
3696,high,MG,martins soares,1,259.0,0.0010510605200647453,0.0023672109195933687
3697,high,PR,maripa,1,259.0,0.0010510605200647453,0.0023672109195933687
